DATE,DIAGNOSED,CURED
2020-01-01,131.0,114.0
2020-02-01,98.0,83.0
2020-03-01,96.0,79.0
2020-04-01,106.0,101.0
2020-05-01,118.0,106.0
2020-06-01,102.0,88.0
2020-07-01,114.0,105.0
2020-08-01,104.0,93.0
2020-09-01,115.0,98.0
2020-10-01,113.0,98.0
2020-11-01,121.0,109.0
2020-12-01,42.0,40.0
2021-01-01,244.0,225.0
2021-02-01,452.0,370.0
2021-03-01,118.0,99.0
2021-04-01,58.0,41.0
2021-05-01,144.0,114.0
2021-06-01,94.0,76.0
2021-07-01,75.0,59.0
2021-08-01,101.0,77.0
2021-09-01,176.0,151.0
2021-10-01,81.0,61.0
2021-11-01,146.0,104.0
2021-12-01,67.0,55.0
2022-01-01,87.0,75.0
2022-02-01,75.0,65.0
2022-03-01,106.0,95.0
2022-04-01,87.0,81.0
2022-05-01,79.0,74.0
2022-06-01,61.0,58.0
2022-07-01,73.0,67.0
2022-08-01,112.0,106.0
2022-09-01,85.0,77.0
2022-10-01,63.0,60.0
2022-11-01,104.0,97.0
2022-12-01,98.0,88.0
2023-01-01,138.0,125.0
2023-02-01,99.0,89.0
2023-03-01,170.0,150.0
2023-04-01,150.0,140.0
2023-05-01,122.0,101.0
2023-06-01,153.0,140.0
2023-07-01,205.0,188.0
2023-08-01,164.0,153.0
2023-09-01,195.0,180.0
2023-10-01,143.0,135.0
2023-11-01,103.0,93.0
2023-12-01,123.0,112.0
2024-01-01,156.0,140.0
2024-02-01,139.0,129.0
2024-03-01,227.0,192.0
2024-04-01,127.0,55.0
2024-05-01,190.0,74.0
